"Onset","Duration","Participant","date_time","Running","Trial","Event","OfferSelf","OfferOther","Presented_Offer","Response","RT","MoneyWon","Response_accept","color_subject"
360.935307899999,0.690959077453816,"IA6LI11","2022_Jan_05_1247","MainTask",3,"Fixation",3,7,"7_3_V1.png","Reject",0.435480600004666,1,2,"blue"
361.636703600001,0.435480600004666,"IA6LI11","2022_Jan_05_1247","MainTask",3,"Offer",3,7,"7_3_V1.png","Reject",0.435480600004666,1,2,"blue"
362.072184200006,0,"IA6LI11","2022_Jan_05_1247","MainTask",3,"Response",3,7,"7_3_V1.png","Reject",0.435480600004666,1,2,"blue"
362.1085877,1,"IA6LI11","2022_Jan_05_1247","MainTask",3,"Feedback",3,7,"7_3_V1.png","Reject",0.435480600004666,1,2,"blue"
363.119988999999,0.514332673626659,"IA6LI11","2022_Jan_05_1247","MainTask",4,"Fixation",3,7,"7_3_V1.png","None",NA,1,2,"blue"
363.654195399999,3,"IA6LI11","2022_Jan_05_1247","MainTask",4,"Offer",3,7,"7_3_V1.png","None",NA,1,2,"blue"
367.65220740001,1,"IA6LI11","2022_Jan_05_1247","MainTask",4,"Feedback_Too_Slow",3,7,"7_3_V1.png","None",NA,1,2,"blue"
368.6558965,0.576740199537239,"IA6LI11","2022_Jan_05_1247","MainTask",5,"Fixation",3,7,"7_3_V1.png","Accept",0.328862099995604,4,2,"blue"
369.24754170001,0.328862099995604,"IA6LI11","2022_Jan_05_1247","MainTask",5,"Offer",3,7,"7_3_V1.png","Accept",0.328862099995604,4,2,"blue"
369.576403800006,0,"IA6LI11","2022_Jan_05_1247","MainTask",5,"Response",3,7,"7_3_V1.png","Accept",0.328862099995604,4,2,"blue"
369.613912300003,1,"IA6LI11","2022_Jan_05_1247","MainTask",5,"Feedback",3,7,"7_3_V1.png","Accept",0.328862099995604,4,2,"blue"
370.626361700008,0.595773603660419,"IA6LI11","2022_Jan_05_1247","MainTask",6,"Fixation",3,7,"7_3_V1.png","Accept",0.369758499989985,7,2,"blue"
371.22761110001,0.369758499989985,"IA6LI11","2022_Jan_05_1247","MainTask",6,"Offer",3,7,"7_3_V1.png","Accept",0.369758499989985,7,2,"blue"
371.5973696,0,"IA6LI11","2022_Jan_05_1247","MainTask",6,"Response",3,7,"7_3_V1.png","Accept",0.369758499989985,7,2,"blue"
371.618266200006,1,"IA6LI11","2022_Jan_05_1247","MainTask",6,"Feedback",3,7,"7_3_V1.png","Accept",0.369758499989985,7,2,"blue"
372.628231900002,0.516702569001383,"IA6LI11","2022_Jan_05_1247","MainTask",7,"Fixation",5,5,"5_5_V1.png","Reject",0.400125799991656,7,2,"blue"
373.167009500001,0.400125799991656,"IA6LI11","2022_Jan_05_1247","MainTask",7,"Offer",5,5,"5_5_V1.png","Reject",0.400125799991656,7,2,"blue"
373.567135299993,0,"IA6LI11","2022_Jan_05_1247","MainTask",7,"Response",5,5,"5_5_V1.png","Reject",0.400125799991656,7,2,"blue"
373.601229300009,1,"IA6LI11","2022_Jan_05_1247","MainTask",7,"Feedback",5,5,"5_5_V1.png","Reject",0.400125799991656,7,2,"blue"
374.613201700005,0.662504930770741,"IA6LI11","2022_Jan_05_1247","MainTask",8,"Fixation",1,9,"9_1_V1.png","Accept",0.351522999990266,8,2,"blue"
375.285884299999,0.351522999990266,"IA6LI11","2022_Jan_05_1247","MainTask",8,"Offer",1,9,"9_1_V1.png","Accept",0.351522999990266,8,2,"blue"
375.637407299989,0,"IA6LI11","2022_Jan_05_1247","MainTask",8,"Response",1,9,"9_1_V1.png","Accept",0.351522999990266,8,2,"blue"
375.671735199998,1,"IA6LI11","2022_Jan_05_1247","MainTask",8,"Feedback",1,9,"9_1_V1.png","Accept",0.351522999990266,8,2,"blue"
376.681721600005,0.577625434613408,"IA6LI11","2022_Jan_05_1247","MainTask",9,"Fixation",1,9,"9_1_V1.png","Accept",0.344260900004883,9,2,"blue"
377.270907099999,0.344260900004883,"IA6LI11","2022_Jan_05_1247","MainTask",9,"Offer",1,9,"9_1_V1.png","Accept",0.344260900004883,9,2,"blue"
377.615168000004,0,"IA6LI11","2022_Jan_05_1247","MainTask",9,"Response",1,9,"9_1_V1.png","Accept",0.344260900004883,9,2,"blue"
377.659525100011,1,"IA6LI11","2022_Jan_05_1247","MainTask",9,"Feedback",1,9,"9_1_V1.png","Accept",0.344260900004883,9,2,"blue"
378.666683300005,0.549249222301308,"IA6LI11","2022_Jan_05_1247","MainTask",10,"Fixation",3,7,"7_3_V1.png","Accept",0.32798260000709,12,2,"blue"
379.235265399999,0.32798260000709,"IA6LI11","2022_Jan_05_1247","MainTask",10,"Offer",3,7,"7_3_V1.png","Accept",0.32798260000709,12,2,"blue"
379.563248000006,0,"IA6LI11","2022_Jan_05_1247","MainTask",10,"Response",3,7,"7_3_V1.png","Accept",0.32798260000709,12,2,"blue"
379.597570500002,1,"IA6LI11","2022_Jan_05_1247","MainTask",10,"Feedback",3,7,"7_3_V1.png","Accept",0.32798260000709,12,2,"blue"
380.618157500008,0.695483615145701,"IA6LI11","2022_Jan_05_1247","MainTask",11,"Fixation",5,5,"5_5_V1.png","Reject",0.275144800005364,12,2,"blue"
381.319970800003,0.275144800005364,"IA6LI11","2022_Jan_05_1247","MainTask",11,"Offer",5,5,"5_5_V1.png","Reject",0.275144800005364,12,2,"blue"
381.595115600008,0,"IA6LI11","2022_Jan_05_1247","MainTask",11,"Response",5,5,"5_5_V1.png","Reject",0.275144800005364,12,2,"blue"
381.631976400007,1,"IA6LI11","2022_Jan_05_1247","MainTask",11,"Feedback",5,5,"5_5_V1.png","Reject",0.275144800005364,12,2,"blue"
382.653141700008,0.615392086662264,"IA6LI11","2022_Jan_05_1247","MainTask",12,"Fixation",5,5,"5_5_V1.png","Reject",0.294642199994996,12,2,"blue"
383.292786700011,0.294642199994996,"IA6LI11","2022_Jan_05_1247","MainTask",12,"Offer",5,5,"5_5_V1.png","Reject",0.294642199994996,12,2,"blue"
383.587428900006,0,"IA6LI11","2022_Jan_05_1247","MainTask",12,"Response",5,5,"5_5_V1.png","Reject",0.294642199994996,12,2,"blue"
383.61645690001,1,"IA6LI11","2022_Jan_05_1247","MainTask",12,"Feedback",5,5,"5_5_V1.png","Reject",0.294642199994996,12,2,"blue"
384.621287600006,0.59265460569311,"IA6LI11","2022_Jan_05_1247","MainTask",13,"Fixation",3,7,"7_3_V1.png","Accept",0.406459300007555,15,2,"blue"
385.222045500006,0.406459300007555,"IA6LI11","2022_Jan_05_1247","MainTask",13,"Offer",3,7,"7_3_V1.png","Accept",0.406459300007555,15,2,"blue"
385.628504800014,0,"IA6LI11","2022_Jan_05_1247","MainTask",13,"Response",3,7,"7_3_V1.png","Accept",0.406459300007555,15,2,"blue"
385.653563600004,1,"IA6LI11","2022_Jan_05_1247","MainTask",13,"Feedback",3,7,"7_3_V1.png","Accept",0.406459300007555,15,2,"blue"
386.673394199999,0.533078999142213,"IA6LI11","2022_Jan_05_1247","MainTask",14,"Fixation",1,9,"9_1_V1.png","Reject",0.366406000001007,15,2,"blue"
387.2291826,0.366406000001007,"IA6LI11","2022_Jan_05_1247","MainTask",14,"Offer",1,9,"9_1_V1.png","Reject",0.366406000001007,15,2,"blue"
